Date,Close
5/28/2014 16:00:00,11.84
5/29/2014 16:00:00,9.49
5/30/2014 16:00:00,8.3
6/2/2014 16:00:00,8.03
6/3/2014 16:00:00,7.47
6/4/2014 16:00:00,8.41
6/5/2014 16:00:00,9.01
6/6/2014 16:00:00,8.19
6/9/2014 16:00:00,7.84
6/10/2014 16:00:00,7.64
6/11/2014 16:00:00,7.72
6/12/2014 16:00:00,7.59
6/13/2014 16:00:00,7.31
6/16/2014 16:00:00,6.67
6/17/2014 16:00:00,6.52
6/18/2014 16:00:00,6.26
6/19/2014 16:00:00,6.68
6/20/2014 16:00:00,7.3
6/23/2014 16:00:00,6.84
6/24/2014 16:00:00,7.1
6/25/2014 16:00:00,7.4
6/26/2014 16:00:00,7.7
6/27/2014 16:00:00,8
6/30/2014 16:00:00,7.99
7/1/2014 16:00:00,7.12
7/2/2014 16:00:00,6.76
7/3/2014 16:00:00,6.32
7/7/2014 16:00:00,5.97
7/8/2014 16:00:00,6
7/9/2014 16:00:00,6.18
7/10/2014 16:00:00,6.1
7/11/2014 16:00:00,6.01
7/14/2014 16:00:00,5.95
7/15/2014 16:00:00,6.06
7/16/2014 16:00:00,6.1
7/17/2014 16:00:00,6.32
7/18/2014 16:00:00,6.55
7/21/2014 16:00:00,6.5
7/22/2014 16:00:00,6.4
7/23/2014 16:00:00,6.42
7/24/2014 16:00:00,6.45
7/25/2014 16:00:00,6.24
7/28/2014 16:00:00,6.39
7/29/2014 16:00:00,6.34
7/30/2014 16:00:00,6.22
7/31/2014 16:00:00,6.19
8/1/2014 16:00:00,6.25
8/4/2014 16:00:00,6.16
8/5/2014 16:00:00,6.18
8/6/2014 16:00:00,6.21
8/7/2014 16:00:00,6.2
8/8/2014 16:00:00,6.06
8/11/2014 16:00:00,6.06
8/12/2014 16:00:00,6.06
8/13/2014 16:00:00,6
8/14/2014 16:00:00,6
8/15/2014 16:00:00,5.93
8/18/2014 16:00:00,5.92
8/19/2014 16:00:00,6
8/20/2014 16:00:00,6.05
8/21/2014 16:00:00,6
8/22/2014 16:00:00,6
8/25/2014 16:00:00,6
8/26/2014 16:00:00,6
8/27/2014 16:00:00,5.91
8/28/2014 16:00:00,5.45
8/29/2014 16:00:00,5.45
9/2/2014 16:00:00,5.4
9/3/2014 16:00:00,5.38
9/4/2014 16:00:00,5.21
9/5/2014 16:00:00,5.31
9/8/2014 16:00:00,5.39
9/9/2014 16:00:00,5.78
9/10/2014 16:00:00,6.05
9/11/2014 16:00:00,6.09
9/12/2014 16:00:00,6.1
9/15/2014 16:00:00,6.02
9/16/2014 16:00:00,6.05
9/17/2014 16:00:00,6.2
9/18/2014 16:00:00,6.02
9/19/2014 16:00:00,5.81
9/22/2014 16:00:00,6.05
9/23/2014 16:00:00,6.03
9/24/2014 16:00:00,6.04
9/25/2014 16:00:00,6.15
9/26/2014 16:00:00,5.88
9/29/2014 16:00:00,5.62
9/30/2014 16:00:00,5.6
